n,variance,layer,architecture,task,kind,source
94,0.22452739,c2,AtlasNet,f_1000,Untrained,PyTorch
95,0.22372748,c2,AtlasNet,f_1000,Untrained,PyTorch
96,0.22302304,c2,AtlasNet,f_1000,Untrained,PyTorch
97,0.22191982,c2,AtlasNet,f_1000,Untrained,PyTorch
98,0.22053145,c2,AtlasNet,f_1000,Untrained,PyTorch
99,0.22015764,c2,AtlasNet,f_1000,Untrained,PyTorch
100,0.21949255,c2,AtlasNet,f_1000,Untrained,PyTorch
101,0.21902327,c2,AtlasNet,f_1000,Untrained,PyTorch
102,0.21816427,c2,AtlasNet,f_1000,Untrained,PyTorch
103,0.21672136,c2,AtlasNet,f_1000,Untrained,PyTorch
104,0.21588314,c2,AtlasNet,f_1000,Untrained,PyTorch
105,0.2146086,c2,AtlasNet,f_1000,Untrained,PyTorch
106,0.21357866,c2,AtlasNet,f_1000,Untrained,PyTorch
107,0.21228434,c2,AtlasNet,f_1000,Untrained,PyTorch
108,0.211835,c2,AtlasNet,f_1000,Untrained,PyTorch
109,0.20956556,c2,AtlasNet,f_1000,Untrained,PyTorch
110,0.20848083,c2,AtlasNet,f_1000,Untrained,PyTorch
111,0.20775332,c2,AtlasNet,f_1000,Untrained,PyTorch
112,0.20747834,c2,AtlasNet,f_1000,Untrained,PyTorch
113,0.20683707,c2,AtlasNet,f_1000,Untrained,PyTorch
114,0.20599312,c2,AtlasNet,f_1000,Untrained,PyTorch
115,0.20514053,c2,AtlasNet,f_1000,Untrained,PyTorch
116,0.20319417,c2,AtlasNet,f_1000,Untrained,PyTorch
117,0.20291823,c2,AtlasNet,f_1000,Untrained,PyTorch
118,0.20207039,c2,AtlasNet,f_1000,Untrained,PyTorch
119,0.2008959,c2,AtlasNet,f_1000,Untrained,PyTorch
120,0.20042644,c2,AtlasNet,f_1000,Untrained,PyTorch
121,0.1994301,c2,AtlasNet,f_1000,Untrained,PyTorch
122,0.19901396,c2,AtlasNet,f_1000,Untrained,PyTorch
123,0.19781375,c2,AtlasNet,f_1000,Untrained,PyTorch
124,0.19754145,c2,AtlasNet,f_1000,Untrained,PyTorch
125,0.1970725,c2,AtlasNet,f_1000,Untrained,PyTorch
126,0.19616814,c2,AtlasNet,f_1000,Untrained,PyTorch
127,0.19503832,c2,AtlasNet,f_1000,Untrained,PyTorch
128,0.19497137,c2,AtlasNet,f_1000,Untrained,PyTorch
129,0.19382398,c2,AtlasNet,f_1000,Untrained,PyTorch
130,0.19331062,c2,AtlasNet,f_1000,Untrained,PyTorch
131,0.19306259,c2,AtlasNet,f_1000,Untrained,PyTorch
132,0.19239251,c2,AtlasNet,f_1000,Untrained,PyTorch
133,0.19199966,c2,AtlasNet,f_1000,Untrained,PyTorch
134,0.19129363,c2,AtlasNet,f_1000,Untrained,PyTorch
135,0.19058879,c2,AtlasNet,f_1000,Untrained,PyTorch
136,0.18960282,c2,AtlasNet,f_1000,Untrained,PyTorch
137,0.18910676,c2,AtlasNet,f_1000,Untrained,PyTorch
138,0.18899906,c2,AtlasNet,f_1000,Untrained,PyTorch
139,0.18845524,c2,AtlasNet,f_1000,Untrained,PyTorch
140,0.18785593,c2,AtlasNet,f_1000,Untrained,PyTorch
141,0.18745121,c2,AtlasNet,f_1000,Untrained,PyTorch
142,0.18612888,c2,AtlasNet,f_1000,Untrained,PyTorch
143,0.1859316,c2,AtlasNet,f_1000,Untrained,PyTorch
144,0.18533787,c2,AtlasNet,f_1000,Untrained,PyTorch
145,0.18499967,c2,AtlasNet,f_1000,Untrained,PyTorch
146,0.18415563,c2,AtlasNet,f_1000,Untrained,PyTorch
147,0.18290845,c2,AtlasNet,f_1000,Untrained,PyTorch
148,0.18262744,c2,AtlasNet,f_1000,Untrained,PyTorch
