n,variance,layer,architecture,task,kind,source
92,0.23836327,c2,AtlasNet,ksize_9,Untrained,PyTorch
93,0.23781228,c2,AtlasNet,ksize_9,Untrained,PyTorch
94,0.23579629,c2,AtlasNet,ksize_9,Untrained,PyTorch
95,0.23493643,c2,AtlasNet,ksize_9,Untrained,PyTorch
96,0.23433489,c2,AtlasNet,ksize_9,Untrained,PyTorch
97,0.23276563,c2,AtlasNet,ksize_9,Untrained,PyTorch
98,0.2314038,c2,AtlasNet,ksize_9,Untrained,PyTorch
99,0.22993451,c2,AtlasNet,ksize_9,Untrained,PyTorch
100,0.22870934,c2,AtlasNet,ksize_9,Untrained,PyTorch
101,0.22755165,c2,AtlasNet,ksize_9,Untrained,PyTorch
102,0.22614618,c2,AtlasNet,ksize_9,Untrained,PyTorch
103,0.22545023,c2,AtlasNet,ksize_9,Untrained,PyTorch
104,0.22443411,c2,AtlasNet,ksize_9,Untrained,PyTorch
105,0.22367588,c2,AtlasNet,ksize_9,Untrained,PyTorch
106,0.22173735,c2,AtlasNet,ksize_9,Untrained,PyTorch
107,0.22046132,c2,AtlasNet,ksize_9,Untrained,PyTorch
108,0.2201432,c2,AtlasNet,ksize_9,Untrained,PyTorch
109,0.21982218,c2,AtlasNet,ksize_9,Untrained,PyTorch
110,0.21911794,c2,AtlasNet,ksize_9,Untrained,PyTorch
111,0.21794687,c2,AtlasNet,ksize_9,Untrained,PyTorch
112,0.21674874,c2,AtlasNet,ksize_9,Untrained,PyTorch
113,0.21621208,c2,AtlasNet,ksize_9,Untrained,PyTorch
114,0.21434924,c2,AtlasNet,ksize_9,Untrained,PyTorch
115,0.21248607,c2,AtlasNet,ksize_9,Untrained,PyTorch
116,0.21209987,c2,AtlasNet,ksize_9,Untrained,PyTorch
117,0.21153978,c2,AtlasNet,ksize_9,Untrained,PyTorch
118,0.21074969,c2,AtlasNet,ksize_9,Untrained,PyTorch
119,0.21042682,c2,AtlasNet,ksize_9,Untrained,PyTorch
120,0.2086781,c2,AtlasNet,ksize_9,Untrained,PyTorch
121,0.2085682,c2,AtlasNet,ksize_9,Untrained,PyTorch
122,0.20781524,c2,AtlasNet,ksize_9,Untrained,PyTorch
123,0.20676091,c2,AtlasNet,ksize_9,Untrained,PyTorch
124,0.20640299,c2,AtlasNet,ksize_9,Untrained,PyTorch
125,0.20582566,c2,AtlasNet,ksize_9,Untrained,PyTorch
126,0.20481229,c2,AtlasNet,ksize_9,Untrained,PyTorch
127,0.20442647,c2,AtlasNet,ksize_9,Untrained,PyTorch
128,0.20401396,c2,AtlasNet,ksize_9,Untrained,PyTorch
129,0.20339397,c2,AtlasNet,ksize_9,Untrained,PyTorch
130,0.20229824,c2,AtlasNet,ksize_9,Untrained,PyTorch
131,0.20153907,c2,AtlasNet,ksize_9,Untrained,PyTorch
132,0.20114593,c2,AtlasNet,ksize_9,Untrained,PyTorch
133,0.20006798,c2,AtlasNet,ksize_9,Untrained,PyTorch
134,0.19943821,c2,AtlasNet,ksize_9,Untrained,PyTorch
135,0.19832957,c2,AtlasNet,ksize_9,Untrained,PyTorch
136,0.1977543,c2,AtlasNet,ksize_9,Untrained,PyTorch
137,0.19759001,c2,AtlasNet,ksize_9,Untrained,PyTorch
138,0.19687851,c2,AtlasNet,ksize_9,Untrained,PyTorch
139,0.19639172,c2,AtlasNet,ksize_9,Untrained,PyTorch
140,0.19581513,c2,AtlasNet,ksize_9,Untrained,PyTorch
141,0.19503781,c2,AtlasNet,ksize_9,Untrained,PyTorch
142,0.19476447,c2,AtlasNet,ksize_9,Untrained,PyTorch
143,0.19446851,c2,AtlasNet,ksize_9,Untrained,PyTorch
144,0.19396618,c2,AtlasNet,ksize_9,Untrained,PyTorch
145,0.19254489,c2,AtlasNet,ksize_9,Untrained,PyTorch
146,0.19230314,c2,AtlasNet,ksize_9,Untrained,PyTorch
147,0.19162989,c2,AtlasNet,ksize_9,Untrained,PyTorch
148,0.1915109,c2,AtlasNet,ksize_9,Untrained,PyTorch
149,0.1907649,c2,AtlasNet,ksize_9,Untrained,PyTorch
150,0.18988699,c2,AtlasNet,ksize_9,Untrained,PyTorch
151,0.18954659,c2,AtlasNet,ksize_9,Untrained,PyTorch
152,0.18917492,c2,AtlasNet,ksize_9,Untrained,PyTorch
153,0.1886911,c2,AtlasNet,ksize_9,Untrained,PyTorch
154,0.18831177,c2,AtlasNet,ksize_9,Untrained,PyTorch
155,0.18748671,c2,AtlasNet,ksize_9,Untrained,PyTorch
156,0.18714787,c2,AtlasNet,ksize_9,Untrained,PyTorch
157,0.18649861,c2,AtlasNet,ksize_9,Untrained,PyTorch
158,0.18603264,c2,AtlasNet,ksize_9,Untrained,PyTorch
159,0.18583766,c2,AtlasNet,ksize_9,Untrained,PyTorch
160,0.18571246,c2,AtlasNet,ksize_9,Untrained,PyTorch
161,0.18490061,c2,AtlasNet,ksize_9,Untrained,PyTorch
162,0.18429723,c2,AtlasNet,ksize_9,Untrained,PyTorch
163,0.18399559,c2,AtlasNet,ksize_9,Untrained,PyTorch
164,0.18354501,c2,AtlasNet,ksize_9,Untrained,PyTorch
165,0.1832289,c2,AtlasNet,ksize_9,Untrained,PyTorch
166,0.18311474,c2,AtlasNet,ksize_9,Untrained,PyTorch
167,0.18245976,c2,AtlasNet,ksize_9,Untrained,PyTorch
168,0.18198793,c2,AtlasNet,ksize_9,Untrained,PyTorch
169,0.1814163,c2,AtlasNet,ksize_9,Untrained,PyTorch
170,0.18108478,c2,AtlasNet,ksize_9,Untrained,PyTorch
171,0.1804996,c2,AtlasNet,ksize_9,Untrained,PyTorch
172,0.18001308,c2,AtlasNet,ksize_9,Untrained,PyTorch
173,0.17944618,c2,AtlasNet,ksize_9,Untrained,PyTorch
174,0.17903265,c2,AtlasNet,ksize_9,Untrained,PyTorch
175,0.17878433,c2,AtlasNet,ksize_9,Untrained,PyTorch
176,0.17789677,c2,AtlasNet,ksize_9,Untrained,PyTorch
177,0.17704795,c2,AtlasNet,ksize_9,Untrained,PyTorch
178,0.17681496,c2,AtlasNet,ksize_9,Untrained,PyTorch
179,0.1767514,c2,AtlasNet,ksize_9,Untrained,PyTorch
