n,variance,layer,architecture,task,kind,source
86,3025.879570697683,c2,AtlasNet,ksize_9,Untrained,PyTorch
87,3015.7944239747626,c2,AtlasNet,ksize_9,Untrained,PyTorch
88,3013.6061762331587,c2,AtlasNet,ksize_9,Untrained,PyTorch
89,2982.7277406254216,c2,AtlasNet,ksize_9,Untrained,PyTorch
90,2965.836148035184,c2,AtlasNet,ksize_9,Untrained,PyTorch
91,2943.5720724787548,c2,AtlasNet,ksize_9,Untrained,PyTorch
92,2932.444057651259,c2,AtlasNet,ksize_9,Untrained,PyTorch
93,2912.5038604453675,c2,AtlasNet,ksize_9,Untrained,PyTorch
94,2904.0039709680873,c2,AtlasNet,ksize_9,Untrained,PyTorch
95,2884.6999431950217,c2,AtlasNet,ksize_9,Untrained,PyTorch
96,2872.602988288459,c2,AtlasNet,ksize_9,Untrained,PyTorch
97,2865.7878778367362,c2,AtlasNet,ksize_9,Untrained,PyTorch
98,2853.160905920137,c2,AtlasNet,ksize_9,Untrained,PyTorch
99,2831.029887033133,c2,AtlasNet,ksize_9,Untrained,PyTorch
100,2827.351519930771,c2,AtlasNet,ksize_9,Untrained,PyTorch
101,2823.532624313893,c2,AtlasNet,ksize_9,Untrained,PyTorch
102,2808.6582580903255,c2,AtlasNet,ksize_9,Untrained,PyTorch
103,2790.703275594463,c2,AtlasNet,ksize_9,Untrained,PyTorch
104,2775.2766115364966,c2,AtlasNet,ksize_9,Untrained,PyTorch
105,2769.742235036187,c2,AtlasNet,ksize_9,Untrained,PyTorch
106,2754.4899899573697,c2,AtlasNet,ksize_9,Untrained,PyTorch
107,2747.2466483359217,c2,AtlasNet,ksize_9,Untrained,PyTorch
108,2736.989345793043,c2,AtlasNet,ksize_9,Untrained,PyTorch
109,2724.57833156996,c2,AtlasNet,ksize_9,Untrained,PyTorch
110,2719.3687454280685,c2,AtlasNet,ksize_9,Untrained,PyTorch
111,2710.6536268123828,c2,AtlasNet,ksize_9,Untrained,PyTorch
112,2702.4271009871895,c2,AtlasNet,ksize_9,Untrained,PyTorch
113,2697.204279504896,c2,AtlasNet,ksize_9,Untrained,PyTorch
114,2684.924495455458,c2,AtlasNet,ksize_9,Untrained,PyTorch
115,2677.3699925088063,c2,AtlasNet,ksize_9,Untrained,PyTorch
116,2666.5422020147575,c2,AtlasNet,ksize_9,Untrained,PyTorch
117,2660.8207183069153,c2,AtlasNet,ksize_9,Untrained,PyTorch
118,2654.982681992016,c2,AtlasNet,ksize_9,Untrained,PyTorch
119,2642.699005791389,c2,AtlasNet,ksize_9,Untrained,PyTorch
120,2620.795525609735,c2,AtlasNet,ksize_9,Untrained,PyTorch
121,2605.2338571307596,c2,AtlasNet,ksize_9,Untrained,PyTorch
122,2604.567858312309,c2,AtlasNet,ksize_9,Untrained,PyTorch
123,2593.640954313025,c2,AtlasNet,ksize_9,Untrained,PyTorch
124,2586.4399230125878,c2,AtlasNet,ksize_9,Untrained,PyTorch
125,2576.0412684493253,c2,AtlasNet,ksize_9,Untrained,PyTorch
126,2567.7081378894914,c2,AtlasNet,ksize_9,Untrained,PyTorch
127,2564.4338876051465,c2,AtlasNet,ksize_9,Untrained,PyTorch
128,2553.815432500867,c2,AtlasNet,ksize_9,Untrained,PyTorch
129,2541.0707427417838,c2,AtlasNet,ksize_9,Untrained,PyTorch
130,2531.5013338907893,c2,AtlasNet,ksize_9,Untrained,PyTorch
131,2529.56363626433,c2,AtlasNet,ksize_9,Untrained,PyTorch
132,2525.9424819753804,c2,AtlasNet,ksize_9,Untrained,PyTorch
133,2514.444157663112,c2,AtlasNet,ksize_9,Untrained,PyTorch
134,2504.601705699664,c2,AtlasNet,ksize_9,Untrained,PyTorch
135,2497.9238059304403,c2,AtlasNet,ksize_9,Untrained,PyTorch
136,2494.8577184745595,c2,AtlasNet,ksize_9,Untrained,PyTorch
137,2484.316380040475,c2,AtlasNet,ksize_9,Untrained,PyTorch
138,2473.348377721659,c2,AtlasNet,ksize_9,Untrained,PyTorch
139,2469.4681124614667,c2,AtlasNet,ksize_9,Untrained,PyTorch
140,2461.598967938949,c2,AtlasNet,ksize_9,Untrained,PyTorch
141,2452.9456293766953,c2,AtlasNet,ksize_9,Untrained,PyTorch
142,2443.3217154540384,c2,AtlasNet,ksize_9,Untrained,PyTorch
143,2423.470227266654,c2,AtlasNet,ksize_9,Untrained,PyTorch
144,2421.370029498412,c2,AtlasNet,ksize_9,Untrained,PyTorch
145,2407.0520605966217,c2,AtlasNet,ksize_9,Untrained,PyTorch
146,2404.3404096812287,c2,AtlasNet,ksize_9,Untrained,PyTorch
147,2392.373454816271,c2,AtlasNet,ksize_9,Untrained,PyTorch
148,2384.140615120245,c2,AtlasNet,ksize_9,Untrained,PyTorch
149,2382.325618638385,c2,AtlasNet,ksize_9,Untrained,PyTorch
150,2377.057390021854,c2,AtlasNet,ksize_9,Untrained,PyTorch
151,2364.069027024036,c2,AtlasNet,ksize_9,Untrained,PyTorch
152,2360.403903033872,c2,AtlasNet,ksize_9,Untrained,PyTorch
153,2350.7047016903275,c2,AtlasNet,ksize_9,Untrained,PyTorch
154,2349.121742624697,c2,AtlasNet,ksize_9,Untrained,PyTorch
155,2338.8390017925476,c2,AtlasNet,ksize_9,Untrained,PyTorch
156,2333.8181301277627,c2,AtlasNet,ksize_9,Untrained,PyTorch
157,2328.8367772897036,c2,AtlasNet,ksize_9,Untrained,PyTorch
158,2321.591346401718,c2,AtlasNet,ksize_9,Untrained,PyTorch
159,2308.228087413334,c2,AtlasNet,ksize_9,Untrained,PyTorch
160,2302.454905090993,c2,AtlasNet,ksize_9,Untrained,PyTorch
161,2301.4733332140772,c2,AtlasNet,ksize_9,Untrained,PyTorch
162,2293.4861856772527,c2,AtlasNet,ksize_9,Untrained,PyTorch
163,2291.4474673110903,c2,AtlasNet,ksize_9,Untrained,PyTorch
164,2283.0781569672567,c2,AtlasNet,ksize_9,Untrained,PyTorch
165,2271.51971145121,c2,AtlasNet,ksize_9,Untrained,PyTorch
166,2266.196453578131,c2,AtlasNet,ksize_9,Untrained,PyTorch
167,2260.82749076237,c2,AtlasNet,ksize_9,Untrained,PyTorch
168,2260.0811730596074,c2,AtlasNet,ksize_9,Untrained,PyTorch
169,2250.369012607674,c2,AtlasNet,ksize_9,Untrained,PyTorch
170,2249.741614621086,c2,AtlasNet,ksize_9,Untrained,PyTorch
171,2237.46215933976,c2,AtlasNet,ksize_9,Untrained,PyTorch
172,2232.322957747775,c2,AtlasNet,ksize_9,Untrained,PyTorch
173,2221.9586679867307,c2,AtlasNet,ksize_9,Untrained,PyTorch
174,2217.2117343615105,c2,AtlasNet,ksize_9,Untrained,PyTorch
175,2209.2246610918946,c2,AtlasNet,ksize_9,Untrained,PyTorch
176,2204.6609327040705,c2,AtlasNet,ksize_9,Untrained,PyTorch
177,2200.378468395266,c2,AtlasNet,ksize_9,Untrained,PyTorch
178,2199.8109309725946,c2,AtlasNet,ksize_9,Untrained,PyTorch
179,2184.0931001030517,c2,AtlasNet,ksize_9,Untrained,PyTorch
180,2181.1852106085153,c2,AtlasNet,ksize_9,Untrained,PyTorch
181,2177.9242897173076,c2,AtlasNet,ksize_9,Untrained,PyTorch
182,2167.1094543245404,c2,AtlasNet,ksize_9,Untrained,PyTorch
183,2165.4463707132213,c2,AtlasNet,ksize_9,Untrained,PyTorch
184,2146.4500885595417,c2,AtlasNet,ksize_9,Untrained,PyTorch
185,2142.8773454717034,c2,AtlasNet,ksize_9,Untrained,PyTorch
186,2137.530998300533,c2,AtlasNet,ksize_9,Untrained,PyTorch
187,2129.6701537655067,c2,AtlasNet,ksize_9,Untrained,PyTorch
188,2123.5333202662946,c2,AtlasNet,ksize_9,Untrained,PyTorch
189,2120.4908698892086,c2,AtlasNet,ksize_9,Untrained,PyTorch
190,2116.891032262133,c2,AtlasNet,ksize_9,Untrained,PyTorch
191,2112.4689913577236,c2,AtlasNet,ksize_9,Untrained,PyTorch
192,2105.6995447009226,c2,AtlasNet,ksize_9,Untrained,PyTorch
193,2098.9976002068297,c2,AtlasNet,ksize_9,Untrained,PyTorch
194,2098.6171621046187,c2,AtlasNet,ksize_9,Untrained,PyTorch
195,2090.7753793047764,c2,AtlasNet,ksize_9,Untrained,PyTorch
196,2083.098277737568,c2,AtlasNet,ksize_9,Untrained,PyTorch
197,2077.538760766949,c2,AtlasNet,ksize_9,Untrained,PyTorch
198,2072.232936521215,c2,AtlasNet,ksize_9,Untrained,PyTorch
199,2059.82112117639,c2,AtlasNet,ksize_9,Untrained,PyTorch
200,2055.8637442257477,c2,AtlasNet,ksize_9,Untrained,PyTorch
201,2052.566843857131,c2,AtlasNet,ksize_9,Untrained,PyTorch
202,2046.334292486471,c2,AtlasNet,ksize_9,Untrained,PyTorch
203,2045.5438690952483,c2,AtlasNet,ksize_9,Untrained,PyTorch
204,2040.6412960353325,c2,AtlasNet,ksize_9,Untrained,PyTorch
205,2029.409032026794,c2,AtlasNet,ksize_9,Untrained,PyTorch
206,2027.3888745783609,c2,AtlasNet,ksize_9,Untrained,PyTorch
207,2019.6075731005603,c2,AtlasNet,ksize_9,Untrained,PyTorch
208,2018.021208525609,c2,AtlasNet,ksize_9,Untrained,PyTorch
209,2010.6472358475648,c2,AtlasNet,ksize_9,Untrained,PyTorch
210,2007.0956948434964,c2,AtlasNet,ksize_9,Untrained,PyTorch
211,2003.027107787805,c2,AtlasNet,ksize_9,Untrained,PyTorch
212,1999.7712252377844,c2,AtlasNet,ksize_9,Untrained,PyTorch
213,1993.6039739904645,c2,AtlasNet,ksize_9,Untrained,PyTorch
214,1990.3448258176663,c2,AtlasNet,ksize_9,Untrained,PyTorch
215,1984.503760917612,c2,AtlasNet,ksize_9,Untrained,PyTorch
216,1977.2691393365467,c2,AtlasNet,ksize_9,Untrained,PyTorch
217,1970.3642969051216,c2,AtlasNet,ksize_9,Untrained,PyTorch
218,1965.8203834421297,c2,AtlasNet,ksize_9,Untrained,PyTorch
219,1964.1535425348955,c2,AtlasNet,ksize_9,Untrained,PyTorch
220,1960.2727981036676,c2,AtlasNet,ksize_9,Untrained,PyTorch
221,1956.6502335168707,c2,AtlasNet,ksize_9,Untrained,PyTorch
222,1949.9812780887669,c2,AtlasNet,ksize_9,Untrained,PyTorch
223,1940.60165245315,c2,AtlasNet,ksize_9,Untrained,PyTorch
224,1940.3581325513974,c2,AtlasNet,ksize_9,Untrained,PyTorch
