n,variance,layer,architecture,task,kind,source
76,8044.949274216222,c2,AtlasNet,nf_10000,Untrained,PyTorch
77,7987.699626512423,c2,AtlasNet,nf_10000,Untrained,PyTorch
78,7888.249101407569,c2,AtlasNet,nf_10000,Untrained,PyTorch
79,7875.344718852149,c2,AtlasNet,nf_10000,Untrained,PyTorch
80,7830.125912551851,c2,AtlasNet,nf_10000,Untrained,PyTorch
81,7794.8998736665335,c2,AtlasNet,nf_10000,Untrained,PyTorch
82,7693.041902709043,c2,AtlasNet,nf_10000,Untrained,PyTorch
83,7644.175669822256,c2,AtlasNet,nf_10000,Untrained,PyTorch
84,7609.688132811307,c2,AtlasNet,nf_10000,Untrained,PyTorch
85,7590.701622573888,c2,AtlasNet,nf_10000,Untrained,PyTorch
86,7571.765607335554,c2,AtlasNet,nf_10000,Untrained,PyTorch
87,7503.5074386795795,c2,AtlasNet,nf_10000,Untrained,PyTorch
88,7408.990255429016,c2,AtlasNet,nf_10000,Untrained,PyTorch
89,7359.961625789132,c2,AtlasNet,nf_10000,Untrained,PyTorch
90,7292.8661640034,c2,AtlasNet,nf_10000,Untrained,PyTorch
91,7263.885691739511,c2,AtlasNet,nf_10000,Untrained,PyTorch
92,7173.149063809639,c2,AtlasNet,nf_10000,Untrained,PyTorch
93,7134.1698676925225,c2,AtlasNet,nf_10000,Untrained,PyTorch
94,7096.10165336445,c2,AtlasNet,nf_10000,Untrained,PyTorch
95,7028.645808554832,c2,AtlasNet,nf_10000,Untrained,PyTorch
96,6997.085247105115,c2,AtlasNet,nf_10000,Untrained,PyTorch
97,6967.699957229508,c2,AtlasNet,nf_10000,Untrained,PyTorch
98,6940.031081303894,c2,AtlasNet,nf_10000,Untrained,PyTorch
99,6850.8537900129095,c2,AtlasNet,nf_10000,Untrained,PyTorch
100,6805.996622015817,c2,AtlasNet,nf_10000,Untrained,PyTorch
101,6765.1277869788555,c2,AtlasNet,nf_10000,Untrained,PyTorch
102,6740.484542760466,c2,AtlasNet,nf_10000,Untrained,PyTorch
103,6684.034880862941,c2,AtlasNet,nf_10000,Untrained,PyTorch
104,6645.654680893974,c2,AtlasNet,nf_10000,Untrained,PyTorch
105,6612.077683633219,c2,AtlasNet,nf_10000,Untrained,PyTorch
106,6542.222764320175,c2,AtlasNet,nf_10000,Untrained,PyTorch
107,6499.343349979173,c2,AtlasNet,nf_10000,Untrained,PyTorch
108,6495.916707544429,c2,AtlasNet,nf_10000,Untrained,PyTorch
109,6453.486579467265,c2,AtlasNet,nf_10000,Untrained,PyTorch
