layer,effective dimensionality,alpha
features.0,25.60750573971377,1.6452806472317878
features.3,72.07208331103747,1.281305906207432
features.6,141.95276112098142,1.1076805258835871
features.8,137.78928399072444,1.0573184930940736
features.10,121.80951813817337,1.0712094348458998
