n,variance,layer,architecture,task,kind,source
72,1.5825725,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
73,1.5731763,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
74,1.5632304,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
75,1.5536892,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
76,1.5310177,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
77,1.5245795,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
78,1.5083832,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
79,1.5007988,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
80,1.4850376,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
81,1.4807981,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
82,1.4713011,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
83,1.4556221,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
84,1.4410911,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
85,1.4317907,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
86,1.4242154,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
87,1.4225041,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
88,1.41669,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
89,1.4084653,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
90,1.4038781,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
91,1.393408,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
92,1.3917279,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
93,1.3760573,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
94,1.3725635,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
95,1.3663453,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
96,1.3541253,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
97,1.3479006,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
98,1.3432484,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
99,1.3296175,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
100,1.3277415,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
101,1.3212092,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
102,1.3158208,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
103,1.3122495,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
104,1.2929149,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
105,1.2875844,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
106,1.286722,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
107,1.2807648,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
108,1.2777623,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
109,1.2727084,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
110,1.2696317,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
111,1.2654119,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
112,1.2608881,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
113,1.2516364,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
114,1.2410833,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
115,1.2378155,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
116,1.2354573,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
117,1.2286059,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
118,1.2248015,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
119,1.2222564,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
120,1.218085,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
121,1.2140768,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
122,1.2103255,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
123,1.207015,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
124,1.2026554,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
125,1.1969175,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
126,1.1941555,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
127,1.1901169,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
128,1.1816895,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
129,1.1762307,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
130,1.1728246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
131,1.1666753,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
132,1.164574,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
133,1.1599585,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
134,1.1569597,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
135,1.1540929,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
136,1.1521658,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
137,1.147893,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
138,1.1427838,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
139,1.1385516,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
140,1.137943,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
141,1.1328163,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
142,1.1315131,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
143,1.1300123,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
144,1.1215681,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
145,1.1210296,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
146,1.1195561,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
147,1.1146699,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
148,1.1118375,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
149,1.1100959,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
150,1.1094075,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
151,1.1029754,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
152,1.1007125,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
153,1.0935397,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
154,1.0904524,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
155,1.0877098,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
156,1.0873826,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
157,1.0852889,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
158,1.0789131,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
159,1.0759208,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
160,1.0712218,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
161,1.0677785,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
162,1.066826,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
163,1.0646199,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
164,1.0589993,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
165,1.0581238,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
166,1.0545806,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
167,1.0517608,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
168,1.049252,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
169,1.0464194,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
170,1.0432922,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
171,1.0405376,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
172,1.0386975,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
173,1.0352478,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
174,1.0331479,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
175,1.0301694,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
176,1.0275414,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
177,1.0223083,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
178,1.0216975,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
179,1.0187695,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
180,1.0168035,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
181,1.0148766,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
182,1.0130416,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
183,1.0111672,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
184,1.008262,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
185,1.0046436,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
186,1.0025727,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
187,1.0005175,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
188,0.99844205,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
189,0.99613273,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
190,0.9945863,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
191,0.99279743,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
192,0.99036133,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
193,0.9877569,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
194,0.9855652,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
195,0.9818931,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
196,0.9817219,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
197,0.978237,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
198,0.9767642,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
199,0.9755523,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
200,0.9729858,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
201,0.9699402,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
202,0.96534234,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
203,0.96386135,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
204,0.9609089,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
205,0.96043813,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
206,0.9583149,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
207,0.95770466,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
208,0.95300674,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
209,0.9507104,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
210,0.94994223,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
211,0.9464477,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
212,0.9454589,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
213,0.94352084,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
214,0.9426711,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
215,0.9415759,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
216,0.9389888,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
217,0.9373741,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
218,0.9360085,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
219,0.93235886,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
220,0.9293253,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
221,0.9278705,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
222,0.9253866,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
223,0.9237053,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
224,0.92231274,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
225,0.9208119,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
226,0.9191328,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
227,0.9185649,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
228,0.91604865,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
229,0.9140536,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
230,0.91291285,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
231,0.91166985,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
232,0.9090873,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
233,0.90651006,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
234,0.90586734,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
235,0.90342796,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
236,0.90175384,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
237,0.8992028,c2,AtlasNet_seed=0,Standard,a_NA,pcs_NA
