n,variance,layer,architecture,task,kind,source
75,981.9481,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
76,979.60425,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
77,970.49695,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
78,961.8249,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
79,956.1953,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
80,947.9132,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
81,942.65564,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
82,939.21954,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
83,923.8324,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
84,920.1804,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
85,908.1175,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
86,903.9156,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
87,893.7023,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
88,890.47864,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
89,885.0511,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
90,880.41956,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
91,879.74066,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
92,870.30756,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
93,860.6766,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
94,858.0902,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
95,850.38904,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
96,837.71277,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
97,835.71045,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
98,829.2103,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
99,821.37976,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
100,817.6283,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
101,816.3148,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
102,808.69745,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
103,804.7534,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
104,798.6782,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
105,794.7883,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
106,788.2439,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
107,783.2273,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
108,779.0757,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
109,771.56696,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
110,768.3074,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
111,764.6416,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
