n,variance,layer,architecture,task,kind,source
75,3269.6448,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
76,3265.0393,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
77,3237.3113,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
78,3220.5098,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
79,3163.3608,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
80,3149.4739,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
81,3132.4414,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
82,3075.8252,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
83,3067.8035,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
84,3058.7415,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
85,3047.5479,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
86,2990.7947,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
87,2976.788,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
88,2949.2637,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
89,2928.272,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
90,2900.4822,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
91,2885.9146,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
92,2870.021,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
93,2831.8638,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
94,2819.0767,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
95,2799.9055,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
96,2753.6504,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
97,2744.3486,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
98,2730.9092,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
99,2694.4517,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
100,2688.5193,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
101,2682.0803,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
102,2670.5767,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
103,2651.4636,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
104,2633.4219,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
105,2619.1365,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
106,2594.1814,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
107,2584.819,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
108,2560.237,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
109,2545.3054,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
110,2527.7163,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
111,2521.7603,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
112,2508.292,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
113,2491.7075,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
114,2473.7068,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
115,2450.0232,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
116,2446.8257,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
117,2400.5884,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
118,2394.2385,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
119,2380.8337,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
120,2374.355,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
121,2362.5132,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
122,2348.393,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
123,2333.5488,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
124,2309.3845,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
125,2299.0283,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
126,2279.955,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
127,2268.1797,c2,AtlasNet_seed=0,Standard_Norm,a_NA,pcs_1000
